item_no,domain,requirement,response_yes_no_partial,explanation,evidence_attached
1,Compliance,Are you certified under ISO 27701 (privacy information management)?,,,
2,Compliance,Do you hold a C5 attestation (BSI Germany)?,,,
3,Compliance,Are you HIPAA compliant and will you sign a BAA?,,,
4,Compliance,Are you FedRAMP authorised?,,,
5,Compliance,Are you TISAX assessed?,,,
6,Availability,Do you commit to a 99.99% monthly uptime SLA with service credits for non-performance?,,,
7,Availability,What has your measured availability been over the past 12 months?,,,
8,Availability,Do you publish a real-time status page?,,,
9,Architecture,Is the platform single-tenant or multi-tenant? Is a dedicated instance available?,,,
10,Architecture,Can the solution be deployed on-premise or in our own cloud tenancy?,,,
11,Architecture,Describe your secure software development lifecycle.,,,
12,Architecture,Are production and non-production environments segregated? Is production data used in testing?,,,
13,Access,Do you support SSO for our administrators? Which protocols?,,,
14,Access,Does the platform support granular role-based permissions?,,,
15,Access,How is privileged access to production monitored?,,,
16,Access,Is there VPN access to your production environment?,,,
17,Personnel,"Are background checks performed on all employees globally, including criminal record checks?",,,
18,Personnel,Do employees receive security training? How often?,,,
19,Personnel,Are employees bound by confidentiality obligations?,,,
20,Legal,Will you accept unlimited liability for data protection breaches?,,,
21,Legal,What is the coverage limit of your cyber liability insurance?,,,
22,Legal,Do you agree to our standard DPA in place of yours?,,,
23,Legal,Do we have the right to audit your facilities and systems on site?,,,
24,Data,Do you store end-user IP addresses?,,,
25,Data,Can we export all consent records in a machine-readable format?,,,
26,Data,Where are backups stored and for how long?,,,
27,Data,How do you handle data subject access requests received directly by you?,,,
28,Incident,Describe your incident classification and escalation process.,,,
29,Incident,When did you last test your incident response plan and what scenario was used?,,,
30,Vendor,Do you assess the security of your own suppliers? How?,,,
