ref,section,question,vendor_response,vendor_comments
Q1,General,Please provide your legal entity name and headquarters address.,,
Q2,General,Do you hold ISO 27001 certification? Provide certificate number and expiry.,,
Q3,General,Do you have a SOC 2 Type II report? What period does it cover?,,
Q4,General,Do you have a dedicated information security function? How many staff?,,
Q5,Encryption,Is customer data encrypted at rest? Specify algorithm.,,
Q6,Encryption,Is data encrypted in transit? Specify minimum TLS version.,,
Q7,Encryption,How are encryption keys managed and how often rotated?,,
Q8,Encryption,Can we bring our own encryption keys (BYOK/CMEK)?,,
Q9,Vulnerability,When was your most recent third-party penetration test and were any critical findings open?,,
Q10,Vulnerability,What are your remediation SLAs for critical and high vulnerabilities?,,
Q11,Access,Is multi-factor authentication enforced for all staff with access to production?,,
Q12,Access,How often are access rights to production reviewed?,,
Q13,Access,Within what timeframe is access revoked upon staff termination?,,
Q14,Data,For how long are consent records retained after collection?,,
Q15,Data,Where is our data hosted? Can we choose the region?,,
Q16,Data,What personal data of our website visitors does the platform collect?,,
Q17,Data,What happens to our data on contract termination?,,
Q18,Incident,Within what timeframe will you notify us of a personal data breach?,,
Q19,Incident,Have you experienced a reportable data breach in the last 3 years?,,
Q20,Incident,Do you have a 24/7 security incident response capability?,,
Q21,Continuity,What are your RTO and RPO?,,
Q22,Continuity,How often do you test your disaster recovery plan?,,
Q23,Privacy,Do you have a Data Protection Officer? Provide contact.,,
Q24,Privacy,List your subprocessors and how you notify us of changes.,,
Q25,Privacy,Is customer data used to train machine learning or AI models?,,
