ref,section,question,vendor_response,vendor_comments,status,answer,evidence,owner,confidence,reviewer_note
Q1,General,Please provide your legal entity name and headquarters address.,,,Cannot answer,We cannot provide our legal entity name and headquarters address from the supplied approved material. We edited this answer.,,Legal,Low,
Q2,General,Do you hold ISO 27001 certification? Provide certificate number and expiry.,,,Yes,"We are certified against ISO/IEC 27001:2022 under certificate IS 771204, valid until 30 November 2027.",07-certifications-audits.md — Current certifications and attestations,,High,
Q3,General,Do you have a SOC 2 Type II report? What period does it cover?,,,Yes,We have a SOC 2 Type II report covering Security and Availability for 1 May 2025 through 30 April 2026.,07-certifications-audits.md — Current certifications and attestations,,High,
Q4,General,Do you have a dedicated information security function? How many staff?,,,Yes,We have a dedicated four-person Security function led by our Head of Security.,01-information-security-policy.md — Security team,,High,
Q5,Encryption,Is customer data encrypted at rest? Specify algorithm.,,,Yes,We encrypt all customer data at rest with AES-256.,02-encryption-and-key-management.md — Data at rest,,High,
Q6,Encryption,Is data encrypted in transit? Specify minimum TLS version.,,,Yes,We use TLS 1.2 or higher for external traffic and prefer TLS 1.3.,02-encryption-and-key-management.md — Data in transit,,High,
Q7,Encryption,How are encryption keys managed and how often rotated?,,,Yes,We manage encryption keys in Google Cloud KMS and rotate them automatically every 90 days.,02-encryption-and-key-management.md — Key management,,High,
Q8,Encryption,Can we bring our own encryption keys (BYOK/CMEK)?,,,No,We do not offer customer-managed encryption keys in the standard product.,02-encryption-and-key-management.md — Key management,,High,
Q9,Vulnerability,When was your most recent third-party penetration test and were any critical findings open?,,,Cannot answer,We cannot confirm the date of our current penetration test from sufficiently current supplied evidence.,,Security,Low,
Q10,Vulnerability,What are your remediation SLAs for critical and high vulnerabilities?,,,Partial,We use remediation targets of 7 days for Critical and 30 days for High vulnerabilities; these are targets rather than contractual SLAs.,10-product-architecture.md — Vulnerability management,,Medium,
Q11,Access,Is multi-factor authentication enforced for all staff with access to production?,,,Yes,We enforce MFA for all staff and require hardware security keys for production access.,03-access-control.md — Authentication,,High,
Q12,Access,How often are access rights to production reviewed?,,,Yes,We review production access quarterly.,03-access-control.md — Authorisation and reviews,,High,
Q13,Access,Within what timeframe is access revoked upon staff termination?,,,Yes,We revoke access within 24 hours of termination through automated deprovisioning.,03-access-control.md — Authorisation and reviews,,High,
Q14,Data,For how long are consent records retained after collection?,,,Cannot answer,We cannot provide a supported retention period because our approved sources conflict.,,Legal,Low,06-data-residency-and-retention.md states 12 months; 09-privacy-and-dpa-terms.md states 36 months.
Q15,Data,Where is our data hosted? Can we choose the region?,,,Yes,"We host customer data in the EU by default, and Enterprise customers may select US hosting at account creation.",06-data-residency-and-retention.md — Hosting regions,,High,
Q16,Data,What personal data of our website visitors does the platform collect?,,,Yes,We store pseudonymous consent details and process IP addresses transiently without storing them.,AA-021,,High,
Q17,Data,What happens to our data on contract termination?,,,Yes,We delete customer data from primary storage within 30 days of termination and from backups within a further 30 days.,06-data-residency-and-retention.md — Deletion on termination,,High,
Q18,Incident,Within what timeframe will you notify us of a personal data breach?,,,Yes,We notify affected customers without undue delay and within 48 hours of confirming a personal data breach.,04-incident-response.md — Customer notification,,High,
Q19,Incident,Have you experienced a reportable data breach in the last 3 years?,,,No,We have not had a reportable personal data breach in the last 36 months.,04-incident-response.md — History,,High,
Q20,Incident,Do you have a 24/7 security incident response capability?,,,Yes,We route security alerts to a 24/7 on-call Security Engineer.,04-incident-response.md — Detection,,High,
Q21,Continuity,What are your RTO and RPO?,,,Yes,We have a four-hour RTO and a one-hour RPO for the Admin Interface and APIs.,08-business-continuity.md — Recovery objectives,,High,
Q22,Continuity,How often do you test your disaster recovery plan?,,,Yes,We perform a full disaster recovery exercise annually; our November 2025 exercise met its targets.,08-business-continuity.md — DR testing,,High,
Q23,Privacy,Do you have a Data Protection Officer? Provide contact.,,,Yes,"We have appointed an external Data Protection Officer, reachable at dpo@.",09-privacy-and-dpa-terms.md — Data Protection Officer,,High,
Q24,Privacy,List your subprocessors and how you notify us of changes.,,,Yes,We list our current subprocessors and notify customers at least 30 days before a new subprocessor begins processing.,05-subprocessors.md — Current subprocessors; 05-subprocessors.md — Changes to the list,,High,
Q25,Privacy,Is customer data used to train machine learning or AI models?,,,No,We do not use customer or end-user data to train machine-learning models.,AA-033,,High,
